layer,sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,state_name_2021
phn_2017,197979799,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),New South Wales
phn_2017,199999499,No usual address (NSW),19999,No usual address (NSW),New South Wales
phn_2017,297979799,Migratory - Offshore - Shipping (Vic.),29797,Migratory - Offshore - Shipping (Vic.),Victoria
phn_2017,299999499,No usual address (Vic.),29999,No usual address (Vic.),Victoria
phn_2017,397979799,Migratory - Offshore - Shipping (Qld),39797,Migratory - Offshore - Shipping (Qld),Queensland
phn_2017,399999499,No usual address (Qld),39999,No usual address (Qld),Queensland
phn_2017,497979799,Migratory - Offshore - Shipping (SA),49797,Migratory - Offshore - Shipping (SA),South Australia
phn_2017,499999499,No usual address (SA),49999,No usual address (SA),South Australia
phn_2017,597979799,Migratory - Offshore - Shipping (WA),59797,Migratory - Offshore - Shipping (WA),Western Australia
phn_2017,599999499,No usual address (WA),59999,No usual address (WA),Western Australia
phn_2017,697979799,Migratory - Offshore - Shipping (Tas.),69797,Migratory - Offshore - Shipping (Tas.),Tasmania
phn_2017,699999499,No usual address (Tas.),69999,No usual address (Tas.),Tasmania
phn_2017,797979799,Migratory - Offshore - Shipping (NT),79797,Migratory - Offshore - Shipping (NT),Northern Territory
phn_2017,799999499,No usual address (NT),79999,No usual address (NT),Northern Territory
phn_2017,897979799,Migratory - Offshore - Shipping (ACT),89797,Migratory - Offshore - Shipping (ACT),Australian Capital Territory
phn_2017,899999499,No usual address (ACT),89999,No usual address (ACT),Australian Capital Territory
phn_2017,997979799,Migratory - Offshore - Shipping (OT),99797,Migratory - Offshore - Shipping (OT),Other Territories
phn_2017,999999499,No usual address (OT),99999,No usual address (OT),Other Territories
