source_family,file_name,sheet_name,table_label,period_min,period_max,row_count,column_count,register_join_readiness,processing_recommendation,recommended_join_key,processing_reason,next_script_stage
participants_by_sa2,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,,,60996,5,joinable_now_sa2,process_for_poc_sa2_join,SA2Cd2016,Participants by SA2 has SA2 geography and can be joined directly as a time-misaligned POC context layer.,build_sa2_participant_count_poc_source
participants_by_sa3,participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,,participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,,,9038,5,joinable_now_sa3,process_for_poc_sa3_join,SA3Cd2016,Participants by SA3 has SA3 geography and can be joined directly to SA2 rows through sa3_code_2021 as a time-misaligned POC context layer.,build_sa3_participant_count_poc_source
participant_numbers_plan_budgets,participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,,participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,2024-06-30,2024-06-30,101021,8,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
payments,payments__2024-06-30__payments__Payments_data_June_2024.csv,,payments__2024-06-30__payments__Payments_data_June_2024.csv,2024-06-30,2024-06-30,114034,11,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
active_providers,active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv,,active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv,2024-06-30,2024-06-30,197616,8,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
market_concentration,market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv,,market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv,,,14915,6,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
market_insights,market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,,market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,2013-07-01,2019-01-01,431,7,context_only_review,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.,hold_in_source_register_only
plan_management,plan_management__2024-12-31__plan_management_types__Plan_Management_types_data_December_2024.csv,,plan_management__2024-12-31__plan_management_types__Plan_Management_types_data_December_2024.csv,2024-12-31,2024-12-31,107554,8,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
sda_participants,sda_participants__2026-03-31__sda_participants__SDA_participants_data.csv,,sda_participants__2026-03-31__sda_participants__SDA_participants_data.csv,,,2292,4,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
sil_participants,sil_participants__2026-03-31__sil_participants__SIL_participants_data.csv,,sil_participants__2026-03-31__sil_participants__SIL_participants_data.csv,,,2270,4,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.,hold_in_source_register_only
